Price,Close,High,Low,Open,Volume
Ticker,GE,GE,GE,GE,GE
Date,,,,,
2003-07-03,79.3206787109375,80.01526185657684,78.9317227645065,79.51516553009219,2565438
2003-07-07,81.32106018066406,81.96007310613199,80.20973604600553,80.37643776228289,4090966
2003-07-08,80.04305267333984,81.32107881716328,79.59852645597907,81.32107881716328,4770036
2003-07-09,78.84835815429688,80.4042082938325,78.65388020408172,80.1541690061008,5883311
2003-07-10,78.3204574584961,79.59847391275571,77.79257628938072,78.8483297816765,4414393
2003-07-11,78.12601470947266,80.15418528240401,77.76483498148953,78.76502771927048,6005358
2003-07-14,77.90375518798828,79.84857055782388,77.82040873800516,79.18177242013779,4751632
2003-07-15,76.87577056884766,78.7094542293657,76.45902950951239,78.45940605538871,5160255
2003-07-16,76.06999969482422,77.2091080523987,75.37542595885373,77.0146213910932,4599497
2003-07-17,75.29214477539062,76.59795600579771,74.73648700942857,75.43106142836632,4898927
2003-07-18,77.18135070800781,77.40361367569372,75.56993092338226,76.62569328879307,4205146
2003-07-21,75.45882415771484,77.37585393938943,75.06985941388308,77.15359089889645,3549363
2003-07-22,76.15338897705078,76.29230557170774,75.01428882355025,75.56994635624112,3630616
2003-07-23,76.1811752319336,76.23674540902228,75.01428997244267,76.12561390078206,3945487
2003-07-24,76.23676300048828,77.73704313088624,76.04227618173762,76.82020576486188,4016912
2003-07-25,78.9872817993164,79.15398351858398,76.62572571100286,76.90355011519691,4919125
2003-07-28,78.82061004638672,80.01528993778119,78.3760837539233,79.32070654837922,3874166
2003-07-29,77.51475524902344,78.90391224677875,77.2369220802851,78.84834207465654,3834291
2003-07-30,77.70926666259766,78.32049452020225,76.95912217654578,78.2093541406931,2854184
2003-07-31,79.01509094238281,80.51538033459909,77.90376644954947,78.76504271034678,5724665
2003-08-01,79.07059478759766,79.68182237176582,78.34823571957483,78.34823571957483,3514037
2003-08-04,79.12621307373047,79.45960772805104,77.2369590073661,79.0706428750401,3139676
2003-08-05,77.23692321777344,79.12617640870674,77.12579171782872,78.51494873604251,3388568
2003-08-06,76.90354919433594,78.07044352335845,76.48680817006556,77.23694378294002,3590553
2003-08-07,78.01486206054688,78.12599357402031,75.5143897384881,76.9035380798749,2742237
